Date,Firm,Strategist,Stock Allocation %,2002 Close
2002-06-07,UBS,Ed Kerschner,80.0,1360.0
2002-06-07,Wachovia,Rod Smyth,85.0,1300.0
2002-06-14,Bank of America,Thomas McManus,55.0,1150.0
2002-06-14,Bear Stearns,,,
2002-06-14,CIBC,Subodh Kumar,75.0,1375.0
2002-06-14,CSFB,Thomas Galvin,70.0,1375.0
2002-06-14,Deutsche Bank,,,
2002-06-14,Goldman Sachs,Abby Joseph Cohen,75.0,1300.0
2002-06-14,JPMorgan,,50.0,950.0
2002-06-14,Lehman,Jeffrey Applegate,80.0,1200.0
2002-06-14,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-06-14,Morgan Stanley,Steve Galbraith,70.0,1225.0
2002-06-14,Prudential,Ed Yardeni,70.0,1250.0
2002-06-14,Salomon SB,Committee,75.0,
2002-06-14,UBS,Ed Kerschner,80.0,1360.0
2002-06-14,Wachovia,Rod Smyth,75.0,1150.0
2002-06-24,Bank of America,Thomas McManus,55.0,1150.0
2002-06-24,Bear Stearns,,,
2002-06-24,CIBC,Subodh Kumar,75.0,1375.0
2002-06-24,CSFB,Thomas Galvin,70.0,1375.0
2002-06-24,Deutsche Bank,Pascal Costantini,50.0,950.0
2002-06-24,Goldman Sachs,Abby Joseph Cohen,75.0,1300.0
2002-06-24,JPMorgan,,50.0,950.0
2002-06-24,Lehman,Jeffrey Applegate,80.0,1200.0
2002-06-24,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-06-24,Morgan Stanley,Steve Galbraith,70.0,1225.0
2002-06-24,Prudential,Ed Yardeni,70.0,1250.0
2002-06-24,Salomon SB,Committee,75.0,1225.0
2002-06-24,UBS,Ed Kerschner,80.0,1360.0
2002-06-24,Wachovia,Rod Smyth,75.0,1150.0
2002-06-28,Bank of America,Thomas McManus,55.0,1150.0
2002-06-28,Bear Stearns,,65.0,
2002-06-28,CIBC,Subodh Kumar,75.0,1375.0
2002-06-28,CSFB,Thomas Galvin,70.0,1375.0
2002-06-28,Deutsche Bank,Pascal Costantini,50.0,950.0
2002-06-28,Goldman Sachs,Abby Joseph Cohen,75.0,1300.0
2002-06-28,JPMorgan,,50.0,950.0
2002-06-28,Lehman,Jeffrey Applegate,80.0,1200.0
2002-06-28,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-06-28,Morgan Stanley,Steve Galbraith,70.0,1225.0
2002-06-28,Prudential,Ed Yardeni,65.0,1250.0
2002-06-28,Salomon SB,Committee,75.0,1225.0
2002-06-28,UBS,Ed Kerschner,80.0,1360.0
2002-06-28,Wachovia,Rod Smyth,75.0,1150.0
2002-07-05,Bank of America,Thomas McManus,55.0,1150.0
2002-07-05,Bear Stearns,,65.0,
2002-07-05,CIBC,Subodh Kumar,75.0,1375.0
2002-07-05,CSFB,Thomas Galvin,70.0,1375.0
2002-07-05,Deutsche Bank,Pascal Costantini,50.0,950.0
2002-07-05,Goldman Sachs,Abby Joseph Cohen,75.0,1300.0
2002-07-05,JPMorgan,,50.0,950.0
2002-07-05,Lehman,Jeffrey Applegate,80.0,1200.0
2002-07-05,Merrill Lynch,Richard Bernstein,50.0,1050.0
2002-07-05,Morgan Stanley,Steve Galbraith,70.0,1225.0
2002-07-05,Prudential,Ed Yardeni,65.0,1250.0
2002-07-05,Salomon SB,Committee,75.0,1225.0
2002-07-05,UBS,Ed Kerschner,80.0,1360.0
2002-07-05,Wachovia,Rod Smyth,75.0,1150.0
2002-07-12,Bank of America,Thomas McManus,55.0,1150.0
2002-07-12,Bear Stearns,,65.0,
2002-07-12,CIBC,Subodh Kumar,75.0,1375.0
2002-07-12,CSFB,Thomas Galvin,70.0,1375.0
2002-07-12,Deutsche Bank,Pascal Costantini,50.0,950.0
2002-07-12,Goldman Sachs,Abby Joseph Cohen,75.0,1300.0
2002-07-12,JPMorgan,,50.0,950.0
2002-07-12,Lehman,Jeffrey Applegate,80.0,1200.0
2002-07-12,Merrill Lynch,Richard Bernstein,50.0,1050.0
2002-07-12,Morgan Stanley,Steve Galbraith,70.0,1225.0
2002-07-12,Prudential,Ed Yardeni,65.0,1250.0
2002-07-12,Salomon SB,Committee,75.0,1225.0
2002-07-12,UBS,Ed Kerschner,80.0,1360.0
2002-07-12,Wachovia,Rod Smyth,75.0,1150.0
2002-07-26,Bank of America,Thomas McManus,60.0,1000.0
2002-07-26,Bear Stearns,,65.0,
2002-07-26,CIBC,Subodh Kumar,75.0,1375.0
2002-07-26,CSFB,Thomas Galvin,70.0,1375.0
2002-07-26,Deutsche Bank,Pascal Costantini,50.0,950.0
2002-07-26,Goldman Sachs,Abby Joseph Cohen,75.0,1300.0
2002-07-26,JPMorgan,,50.0,950.0
2002-07-26,Lehman,Jeffrey Applegate,80.0,1075.0
2002-07-26,Merrill Lynch,Richard Bernstein,50.0,1050.0
2002-07-26,Morgan Stanley,Steve Galbraith,70.0,1200.0
2002-07-26,Prudential,Ed Yardeni,65.0,1250.0
2002-07-26,Salomon SB,Committee,75.0,1000.0
2002-07-26,UBS,Ed Kerschner,89.0,1089.0
2002-07-26,Wachovia,Rod Smyth,75.0,1150.0
2002-08-02,Bank of America,Thomas McManus,60.0,1000.0
2002-08-02,Bear Stearns,,65.0,
2002-08-02,CIBC,Subodh Kumar,75.0,1375.0
2002-08-02,CSFB,Thomas Galvin,70.0,1375.0
2002-08-02,Deutsche Bank,Pascal Costantini,50.0,950.0
2002-08-02,Goldman Sachs,Abby Joseph Cohen,75.0,1300.0
2002-08-02,JPMorgan,,50.0,950.0
2002-08-02,Lehman,Jeffrey Applegate,80.0,1075.0
2002-08-02,Merrill Lynch,Richard Bernstein,50.0,960.0
2002-08-02,Morgan Stanley,Steve Galbraith,70.0,1200.0
2002-08-02,Prudential,Ed Yardeni,65.0,1250.0
2002-08-02,Salomon SB,Committee,75.0,1000.0
2002-08-02,UBS,Ed Kerschner,89.0,1065.0
2002-08-02,Wachovia,Rod Smyth,75.0,1150.0
2002-08-09,Bank of America,Thomas McManus,60.0,1000.0
2002-08-09,Bear Stearns,,65.0,
2002-08-09,CIBC,Subodh Kumar,75.0,1250.0
2002-08-09,CSFB,Thomas Galvin,70.0,1375.0
2002-08-09,Deutsche Bank,Pascal Costantini,50.0,950.0
2002-08-09,Goldman Sachs,Abby Joseph Cohen,75.0,1300.0
2002-08-09,JPMorgan,,50.0,950.0
2002-08-09,Lehman,Jeffrey Applegate,80.0,1075.0
2002-08-09,Merrill Lynch,Richard Bernstein,50.0,960.0
2002-08-09,Morgan Stanley,Steve Galbraith,70.0,1200.0
2002-08-09,Prudential,Ed Yardeni,65.0,1150.0
2002-08-09,Salomon SB,Committee,75.0,1000.0
2002-08-09,UBS,Ed Kerschner,89.0,1086.0
2002-08-09,Wachovia,Rod Smyth,75.0,1150.0
2002-08-16,Bank of America,Thomas McManus,60.0,1000.0
2002-08-16,Bear Stearns,,65.0,
2002-08-16,CIBC,Subodh Kumar,75.0,1250.0
2002-08-16,CSFB,Thomas Galvin,70.0,1375.0
2002-08-16,Deutsche Bank,Pascal Costantini,50.0,950.0
2002-08-16,Goldman Sachs,Abby Joseph Cohen,75.0,1300.0
2002-08-16,JPMorgan,,50.0,950.0
2002-08-16,Lehman,Jeffrey Applegate,80.0,1075.0
2002-08-16,Merrill Lynch,Richard Bernstein,50.0,960.0
2002-08-16,Morgan Stanley,Steve Galbraith,70.0,1200.0
2002-08-16,Prudential,Ed Yardeni,70.0,1100.0
2002-08-16,Salomon SB,Committee,75.0,1000.0
2002-08-16,UBS,Ed Kerschner,89.0,1118.0
2002-08-16,Wachovia,Rod Smyth,75.0,1000.0
2002-08-23,Bank of America,Thomas McManus,60.0,1000.0
2002-08-23,Bear Stearns,,65.0,
2002-08-23,CIBC,Subodh Kumar,75.0,1250.0
2002-08-23,CSFB,Thomas Galvin,70.0,1140.0
2002-08-23,Deutsche Bank,Pascal Costantini,50.0,950.0
2002-08-23,Goldman Sachs,Abby Joseph Cohen,75.0,1300.0
2002-08-23,JPMorgan,,50.0,950.0
2002-08-23,Lehman,Jeffrey Applegate,80.0,1075.0
2002-08-23,Merrill Lynch,Richard Bernstein,50.0,960.0
2002-08-23,Morgan Stanley,Steve Galbraith,70.0,1200.0
2002-08-23,Prudential,Ed Yardeni,70.0,1100.0
2002-08-23,Salomon SB,Committee,75.0,1000.0
2002-08-23,UBS,Ed Kerschner,87.0,1075.0
2002-08-23,Wachovia,Rod Smyth,75.0,1000.0
2002-08-30,Bank of America,Thomas McManus,60.0,1000.0
2002-08-30,Bear Stearns,,65.0,
2002-08-30,CIBC,Subodh Kumar,75.0,1250.0
2002-08-30,CSFB,Thomas Galvin,70.0,1140.0
2002-08-30,Deutsche Bank,Pascal Costantini,50.0,950.0
2002-08-30,Goldman Sachs,Abby Joseph Cohen,75.0,1300.0
2002-08-30,JPMorgan,,50.0,950.0
2002-08-30,Lehman,Jeffrey Applegate,80.0,1075.0
2002-08-30,Merrill Lynch,Richard Bernstein,50.0,960.0
2002-08-30,Morgan Stanley,Steve Galbraith,70.0,1200.0
2002-08-30,Prudential,Ed Yardeni,70.0,1100.0
2002-08-30,Salomon SB,Committee,75.0,1000.0
2002-08-30,UBS,Ed Kerschner,88.0,1043.0
2002-08-30,Wachovia,Rod Smyth,75.0,1000.0
2002-09-13,Bank of America,Thomas McManus,60.0,1000.0
2002-09-13,Bear Stearns,,65.0,
2002-09-13,CIBC,Subodh Kumar,75.0,1250.0
2002-09-13,CSFB,Thomas Galvin,70.0,1140.0
2002-09-13,Deutsche Bank,Pascal Costantini,,950.0
2002-09-13,Goldman Sachs,Abby Joseph Cohen,75.0,1300.0
2002-09-13,JPMorgan,,50.0,950.0
2002-09-13,Lehman,Jeffrey Applegate,80.0,1075.0
2002-09-13,Merrill Lynch,Richard Bernstein,50.0,960.0
2002-09-13,Morgan Stanley,Steve Galbraith,70.0,1200.0
2002-09-13,Prudential,Ed Yardeni,70.0,1100.0
2002-09-13,Salomon SB,Committee,75.0,1000.0
2002-09-13,UBS,Ed Kerschner,89.0,1022.0
2002-09-13,Wachovia,Rod Smyth,75.0,1000.0
2002-09-20,Bank of America,Thomas McManus,60.0,1000.0
2002-09-20,Bear Stearns,,65.0,
2002-09-20,CIBC,Subodh Kumar,75.0,1250.0
2002-09-20,CSFB,Thomas Galvin,70.0,1140.0
2002-09-20,Deutsche Bank,Pascal Costantini,,950.0
2002-09-20,Goldman Sachs,Abby Joseph Cohen,75.0,
2002-09-20,JPMorgan,,50.0,950.0
2002-09-20,Lehman,Jeffrey Applegate,80.0,1075.0
2002-09-20,Merrill Lynch,Richard Bernstein,50.0,960.0
