,Author,Date,Firm,Strategist,Stock Allocation %,2009 Close,2009 EPS,2010 Close,2010 EPS,Reweighted Allocation
204,Lynn Thomasson,2009-04-07,Goldman Sachs,David Kostin,,940.0,40.0,,,
205,Lynn Thomasson,2009-04-07,HSBC,Kevin Gardiner,,900.0,,,,
206,Lynn Thomasson,2009-04-07,JPMorgan,Thomas Lee,,1100.0,57.0,,,
207,Lynn Thomasson,2009-04-07,Morgan Stanley,Jason Todd,,825.0,40.0,,,
208,Lynn Thomasson,2009-04-07,RBC,Myles Zyblock,,1050.0,55.0,,,
209,Lynn Thomasson,2009-04-07,UBS,David Bianco,,1100.0,51.0,,,
210,Lynn Thomasson,2009-04-27,Bank of America,,,1030.0,42.0,,,
211,Lynn Thomasson,2009-04-27,Barclays,Barry Knapp,,757.0,41.0,,,
212,Lynn Thomasson,2009-04-27,Citigroup,Tobias Levkovich,,1000.0,51.0,,,
213,Lynn Thomasson,2009-04-27,Credit Suisse,Andrew Garthwaite,,920.0,58.0,,,
214,Lynn Thomasson,2009-04-27,Deutsche Bank,Binky Chadha,,900.0,39.5,,,
215,Lynn Thomasson,2009-04-27,Goldman Sachs,David Kostin,,940.0,40.0,,,
216,Lynn Thomasson,2009-04-27,HSBC,Kevin Gardiner,,900.0,,,,
217,Lynn Thomasson,2009-04-27,JPMorgan,Thomas Lee,,1100.0,57.0,,,
218,Lynn Thomasson,2009-04-27,Morgan Stanley,Jason Todd,,825.0,40.0,,,
219,Lynn Thomasson,2009-04-27,RBC,Myles Zyblock,,1050.0,55.0,,,
220,Lynn Thomasson,2009-04-27,UBS,David Bianco,,1100.0,51.0,,,
221,Lynn Thomasson and Matt Townsend,2009-05-04,Barclays,Barry Knapp,,757.0,41.0,,,
222,Lynn Thomasson and Matt Townsend,2009-05-04,Citigroup,Tobias Levkovich,,1000.0,51.0,,,
223,Lynn Thomasson and Matt Townsend,2009-05-04,Credit Suisse,Andrew Garthwaite,,920.0,58.0,,,
224,Lynn Thomasson and Matt Townsend,2009-05-04,Deutsche Bank,Binky Chadha,,900.0,39.5,,,
225,Lynn Thomasson and Matt Townsend,2009-05-04,Goldman Sachs,David Kostin,,940.0,40.0,,,
